sim, sim.num, error, n, time.elapsed, model, mod.nodes, n.effect, n.noeffect, rmse.effect, rmse.noeffect, cov.effect, cov.noeffect, TP.effect, FP.effect, FP.noeffect, cum.rmse.effect, cum.rmse.noeffect, cum.cov.effect, cum.cov.noeffect, cum.TP, cum.FP, inc.mod_num, inc.mod_bin, inc.mod_scale, inc.other_num, inc.other_bin, inf.mod_num, inf.mod_bin, inf.mod_scale, inf.other_num, inf.other_bin, prob.mod_num, prob.mod_bin, prob.mod_scale, prob.other_num, prob.other_bin, prob.mod_num.mod_bin, prob.mod_num.mod_scale, prob.mod_scale.mod_scale, prob.2mod.max, prob.2mod.mean, oos.f.mspe, oos.f.cov, oos.y.mspe, oos.y.cov, waic
3, 1, 1, 5000, 959.247, dlmtree:GP, 2.51925, 5000, 0, 0.0139608036177327, NaN, 0.983691891891892, NaN, 1, 0.0208068965517241, NaN, 0.110067999605063, NaN, 0.9978, NaN, 1, NaN, 0.312, 0.265, 0.334, 0.44, 0.4043, 0.0882186960454643, 0.0401975976761654, 0.125064490395455, 0.190707073750849, 0.163803917854448, 0.0460554899943995, 0.0261061695984916, 0.0572097659091893, 0.0936672160929345, 0.0804584988066494, 0.0255, 0.0425, 0.1125, 0.279, 0.0724695121951219, 0.00637445363929428, 0.9934, 1.01441999842504, 0.9484, 14170.6827164031
3, 1, 1, 5000, 151.64, dlmtree:SingleTDLM, 0, 5000, 0, 0.00852836977087619, NaN, 1, NaN, 1, 0, NaN, 0.0949254031803521, NaN, 0, NaN, 1, NaN, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0031765940942326, 0.9568, 1.00838150224081, 0.947, 14152.8268960835
3, 1, 1, 5000, 151.983999999999, dlmtree:SingleGP, 0, 5000, 0, 0.0136237672645406, NaN, 0.972972972972973, NaN, 1, 0.0344827586206897, NaN, 0.094500836901233, NaN, 0, NaN, 1, NaN, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0787035127321758, 0.4064, 1.09238715983169, 0.939, 14556.0967262503
3, 1, 25, 5000, 593.616, dlmtree:TDLMnested, 2.512075, 5000, 0, 0.0433272476034581, NaN, 0.973724324324324, NaN, 0.999425, 0.000537931034482759, NaN, 0.59191282794873, NaN, 0.9948, NaN, 0.9478, NaN, 0.34, 0.321, 0.411, 0.4476, 0.3743, 0.0917286954467871, 0.0735032209918408, 0.146724706069814, 0.187635190652465, 0.119561868407073, 0.0384379645412017, 0.0541969207767069, 0.0808989194855138, 0.104692346031947, 0.060600893007368, 0.052, 0.0515, 0.133, 0.318, 0.0704329268292683, 0.10024659783572, 0.958, 25.2272288481889, 0.9486, 30239.2477010665
3, 1, 25, 5000, 424.578, dlmtree:TDLMpairs, 2.546975, 5000, 0, 0.0415352621660009, NaN, 0.973702702702703, NaN, 0.999975, 0, NaN, 0.583601015083174, NaN, 0.9992, NaN, 0.8932, NaN, 0.3395, 0.2465, 0.5465, 0.4206, 0.3906, 0.0825047312452957, 0.0265799332927523, 0.270132800537219, 0.133610721900267, 0.112979473786243, 0.0612387291682749, 0.0226951060658308, 0.187404012896885, 0.0761570890281496, 0.0695753413456523, 0.03, 0.0465, 0.282, 0.1705, 0.0706219512195122, 0.094340339005211, 0.9794, 25.2157988304306, 0.9502, 30242.0268402094
3, 1, 25, 5000, 964.540000000001, dlmtree:GP, 2.53065, 5000, 0, 0.040258029669465, NaN, 0.997686486486487, NaN, 0.9841, 0.00295172413793103, NaN, 0.584813518459334, NaN, 0.9954, NaN, 0.9108, NaN, 0.382, 0.3115, 0.59, 0.4476, 0.4563, 0.107947541128174, 0.0501321205531882, 0.265097552769281, 0.151370707834514, 0.163057189693309, 0.0462860019174574, 0.0387706522833323, 0.138152048141132, 0.070200491403369, 0.0851577681282468, 0.038, 0.074, 0.2785, 0.263, 0.0801219512195122, 0.0898920887769331, 0.9994, 25.2155219913759, 0.9486, 30252.6790593251
3, 1, 25, 5000, 115.939999999999, dlmtree:SingleTDLM, 0, 5000, 0, 0.0319066233462654, NaN, 1, NaN, 1, 0, NaN, 0.47796619725982, NaN, 0, NaN, 1, NaN, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0579388996429101, 0.9518, 25.2068873043124, 0.9476, 30239.7721888915
3, 1, 25, 5000, 142.141, dlmtree:SingleGP, 0, 5000, 0, 0.0387135527077322, NaN, 0.972972972972973, NaN, 1, 0.0344827586206897, NaN, 0.452595436706084, NaN, 0, NaN, 1, NaN, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.135457378445282, 0.8674, 25.329000867423, 0.949, 30275.2419129502
3, 2, 1, 5000, 276.517, dlmtree:TDLMnested, 2.377275, 5000, 0, 0.00781606177408176, NaN, 0.999972972972973, NaN, 1, 0, NaN, 0.0546996971473838, NaN, 1, NaN, 1, NaN, 0.767, 0.1425, 0.1835, 0.2148, 0.2037, 0.638122928020282, 0.0190509468077969, 0.0328078608387375, 0.073737463276976, 0.0616677425646277, 0.597609533171169, 0.0117568539449261, 0.014255754347521, 0.038944078826695, 0.0363314928805817, 0.038, 0.051, 0.0225, 0.627, 0.0413109756097561, 0.00203158978019775, 0.9996, 1.01443991572015, 0.9408, 14076.62537858
3, 3, 1, 5000, 355.039, dlmtree:TDLMnested, 2.435575, 5000, 0, 0.0160199110366744, NaN, 0.882821621621622, NaN, 1, 0, NaN, 0.0245452647612912, NaN, 1, NaN, 1, NaN, 0.312, 0.2495, 0.4385, 0.3624, 0.3542, 0.0976219341334395, 0.0610107573377685, 0.139812467532589, 0.157511937805261, 0.129528669063392, 0.0439313504833148, 0.0260892347365358, 0.0498988754402441, 0.091942860310838, 0.0840732475571431, 0.039, 0.05, 0.139, 0.2335, 0.0612926829268293, 0.00694531541924699, 0.8034, 1.01992985337104, 0.9506, 14287.9779789006
